उच्चावच निरूपण का तात्पर्य किससे है ?,मानचित्रण की विधि,भू-आकृतियों का अध्ययन,उच्चावच का अध्ययन,नदी का अध्ययन,a 
'V' आकार की घाटी किस कारण बनती है ?,लवणीय वर्षा,नदी का बहाव,भूकंप,बर्फ का जमाव,b
पर्वतीय छायाकरण विधि में प्रकाश किस दिशा से माना जाता है ?,उत्तर-पश्चिम,दक्षिण-पूर्व,पश्चिम,पूर्व,a
तल चिह्न किसे कहते हैं ?,ऊँचाई मापने के बिंदु,समोच्च रेखाओं के बिंदु,सर्वेक्षण उपकरण,पर्वतीय स्थल,b
'समोच्च रेखाएँ' किसके लिए एक मानक विधि हैं ?,उच्चावच प्रदर्शन,जलवायु परिवर्तन,जनसंख्या वृद्धि,स्थलाकृतिक परिवर्तन,a
समोच्च रेखाएँ किसकी सहायता से खींची जाती हैं ?,सर्वेक्षण,भूगर्भ विज्ञान,जलवायु अध्ययन,नदियों का अध्ययन,a
'समोच्च रेखाओं' का मान क्या दर्शाता है ?,ऊँचाई,लंबाई,चौड़ाई,जल स्तर,a
समोच्च रेखाएँ एक जैसे ढाल को किस प्रकार दर्शाती हैं ?,समान दूरी पर खींची जाती हैं,सघन रूप से खींची जाती हैं,दूर-दूर खींची जाती हैं,हल्का रंग प्रयोग किया जाता है,a
पर्वत स्थल की समोच्च रेखाएँ कैसी होती हैं ?,वृताकार,सीधी रेखाएँ,लहरदार,घुमावदार,a
झील की समोच्च रेखाएँ कैसी होती हैं ?,बाहर की ओर ऊँचाई घटती है,बाहर की ओर ऊँचाई बढ़ती है,वृताकार,समान ऊँचाई वाली,b
उच्चावच निरूपण की हैश्यूर विधि का विकास किसने किया था ?,लेहमान,न्यूटन,गौस,स्टीफन,a
पर्वतीय छायाकरण में उच्चावच को किस प्रकार प्रदर्शित किया जाता है ?,प्रकाश और छाया के अंतर से,समोच्च रेखाओं द्वारा,रंगीन मानचित्र से,त्रिकोणमितीय विधि से,a
समोच्च रेखाओं के पास-पास होने से क्या प्रदर्शित होता है ?,खड़ी ढाल,मंद ढाल,विस्तृत क्षेत्र,समुद्र तल,a
तल चिह्न का क्या उद्देश्य है ?,ऊँचाई को प्रदर्शित करना,स्थलाकृति दिखाना,नदी की दिशा बताना,तापमान मापना,a
'V' आकार की घाटी में समोच्च रेखाएँ किस प्रकार की होती हैं ?,उल्टी 'V' आकार,वृताकार,सीधी रेखाएँ,समान दूरी पर,b
समोच्च रेखाओं का मान समुद्र तल से किस प्रकार मापा जाता है ?,त्रिकोणमिति द्वारा,सापेक्ष ऊँचाई से,तल चिह्न से,रंगीन मानचित्र द्वारा,c
हैश्यूर विधि से उच्चावच प्रदर्शित करने में क्या कठिनाई होती है ?,समय एवं मेहनत की अधिकता,उच्च गुणवत्ता,सटीकता,आकर्षक रूप,a
पर्वतीय छायाकरण विधि में अंधेरे भाग को किससे भर दिया जाता है ?,गहरी आभा,हल्की आभा,सफेद रंग,हरे रंग,a
समोच्च रेखाओं पर ऊँचाई का मान किस प्रकार लिखा जाता है ?,फीट या मीटर में,किलोग्राम में,किलोमीटर में,मील में,a
समोच्च रेखाओं को किसके अनुसार खींचा जाता है ?,ढाल की तीव्रता,क्षेत्र के आकार,जल प्रवाह,ऊँचाई के मान,a
समोच्च रेखाओं की सहायता से कौन सी आकृति को दिखाया जाता है ?,पर्वत,झील,पठार,जलप्रपात,a
उच्चावच प्रदर्शन के लिए कौन सी विधि सजीव मानचित्र बनाती है ?,हैश्यूर विधि,पर्वतीय छायाकरण,समोच्च रेखाएँ,रंगीन स्तर रंजन,a
समोच्च रेखाओं को किस रंग से प्रदर्शित किया जाता है ?,बादामी रंग,नीला,सफेद,हरा,a
शंक्वाकार पहाड़ी के समोच्च रेखाओं का आकार कैसा होता है ?,वृताकार,लंबाकार,त्रिकोणीय,चौकोर,a
पठार की समोच्च रेखाएँ किस प्रकार होती हैं ?,लंबाकार आकृति में,वृताकार आकृति में,समान दूरी पर,सीधी रेखाएँ,a
जलप्रपात को किस प्रकार से दिखाया जाता है ?,खड़ी ढाल वाली रेखाओं से,वृताकार रेखाओं से,समान रेखाओं से,लंबी ढाल वाली रेखाओं से,a
समोच्च रेखाओं को सटीक रूप से खींचने के लिए किसका उपयोग किया जाता है ?,सर्वेक्षण उपकरण,नक्शे,त्रिकोणमितीय स्टेशन,सापेक्ष ऊँचाई,a
स्तर रंजन का प्रयोग किस प्रकार के मानचित्रों में होता है ?,रंगीन,ब्लैक एंड व्हाइट,खगोलीय,भौतिक,a
त्रिकोणमितीय स्टेशन से ऊँचाई कैसे मापी जाती है ?,त्रिभुजन विधि द्वारा,सर्वेक्षण विधि द्वारा,रंगीन मानचित्र से,समोच्च रेखाओं द्वारा,a
