राष्ट्रवाद का शाब्दिक अर्थ क्या है?,राष्ट्रीय चेतना का उदय,समाज का विकास,भाषा का उत्थान,आर्थिक समृद्धि,a
19वीं शताब्दी के पूर्वाद्ध तक भारत किस प्रकार से विभाजित था?,छोटे-छोटे राज्य,एक राष्ट्र,केवल दक्षिणी राज्य,केवल उत्तरी राज्य,a
19वीं शताब्दी में भारत में राष्ट्रवाद के उदय का मुख्य कारण क्या था?,अंग्रेजी शासन व्यवस्था,मुग़ल शासन,क्षेत्रीय संघर्ष,धार्मिक एकता,a
ब्रिटिश शासन ने कौन सी व्यवस्था शुरू की जिससे राष्ट्रीय चेतना को बढ़ावा मिला?,डाक और तार व्यवस्था,व्यापार का नियंत्रण,धार्मिक सुधार,शिक्षा में बदलाव,a
स्वतंत्रता संग्राम किसकी अभिव्यक्ति है?,राष्ट्रवाद,आर्थिक विकास,धार्मिक सुधार,सांस्कृतिक आदान-प्रदान,a
19वीं शताब्दी में भारतीय जनता के बीच असंतोष की भावना क्यों बढ़ी?,अंग्रेजी शासन द्वारा शोषण,मौसम में बदलाव,शिक्षा का प्रचार,व्यापार में सुधार,a
राष्ट्रीय एकता की कमी किसका संकेत है?,समानता की अनुभूति का अभाव,आर्थिक विकास,शिक्षा की कमी,धार्मिक एकता,a
देश द्रोही सभा अधिनियम का उद्देश्य क्या था?,सभाओं पर रोक लगाना,प्रेस को बढ़ावा देना,वोटिंग अधिकार देना,शिक्षा नीति में सुधार,a
कलकत्ता कारपोरेशन एक्ट का प्रभाव क्या था?,गैर निर्वाचित सदस्यों की संख्या में वृद्धि,मंदिरों का निर्माण,शिक्षा नीति में सुधार,रोजगार में वृद्धि,a
आर्म्स एक्ट किस वर्ष में पारित हुआ था?,1879,1907,1910,1905,a
बंगाल विभाजन का निर्णय किस वर्ष में लिया गया?,1905,1911,1899,1878,a
अंग्रेजी शिक्षा नीति से भारतीयों ने क्या सीखा?,प्रजातंत्र और आधुनिक प्रगति,धार्मिक एकता,कृषि सुधार,औद्योगिक विकास,a
'देश द्रोही सभा अधिनियम' कब लागू किया गया?,1907,1911,1910,1899,a
भारतीय राष्ट्रवाद के विकास में फ्रांस की किस घटना ने योगदान दिया?,राज्य क्रांति,औद्योगिक क्रांति,धार्मिक सुधार,शैक्षिक सुधार,a
