नेपोलियन के पतन के बाद यूरोप की विजय शक्तियाँ ऑस्ट्रिया की राजधानी में कब शामिल हुईं ?,1812,1816,1815,1820,c
ऑस्ट्रिया की राजधानी क्या थी ?,वियना,बुडापेस्ट,बर्लिन,प्राग,a
1815 ई. के वियाना सम्मेलन की मेजबानी किसने की ?,नेपोलियन बोनापार्ट,मेटरनिख,काउंट कावूर,मेजिनी,b
निम्लिखित में ऑस्ट्रिया का चांसलर कौन था ?,मेटरनिख,नेपोलियन,मजिनी,चार्ल्स X,a
वियना सम्मेलन के माध्यम से किस युग की शुरुआत हुई ?,मेटरनिख युग,पुनर्जागरण युग,राष्ट्रवाद युग,नेपोलियन युग,a
लोम्बार्डी एवं वेनेशिया पर किसकी प्रभुता कायम हुई ?,फ्रांस,इंग्लैंड,प्रशा,ऑस्ट्रिया,d
जर्मनी में कितने रियासतों का संघ था ?,300,290,39,32,c
फ्रांस में वियना व्यवस्था के तहत क्रांति के पूर्व की व्यवस्था स्थापित करने पर यहाँ का राजा कौन बना है ?,चार्ल्स X,लुई 18,नेपोलियन बोनापार्ट,लुई 16,b
लुई 18 ने प्रतिक्रियावादी और सुधारवादी शक्तियों के मध्य सामंजस्य स्थापित करने के लिए संवैधानिक घोषणा पत्र कब जारी किया ?,14 अप्रैल 1814, 2 जून 1814, 17 मार्च 1820, 1 जुलाई 1824,b
चार्ल्स-X ने किस प्रतिक्रियावादी को प्रधानमंत्री बनाया ?,पोलिग्नेक,चेमिन, लुई 18,गीजो,a
फ्रांस में गृह युद्ध कब आरंभ हुआ ?,28 जून 1830, 26 फरवरी 1848, 5 अक्टूबर 1846, 1 मई 1852,a
फ्रांस के गृह युद्ध को और क्या कहते हैं ?,जुलाई 1830 क्रांति, फ़्रांसीसी क्रांति, कोम्यून क्रांति,जुलाई 1848 क्रांति,a
फ्रांस में जुलाई 1830 की क्रांति के परिणामस्वरुप बूर्वो वंश के स्थान पर किस वंश की स्थापना हुई ?,बोरबॉन वंश, आर्लेयेंस  वंश, होहेनज़ोलर्न वंश, नेपोलियन वंश,b
लुई फिलिप किस वंश का शासक था ?,बूर्वो,नेपोलियन,आर्लेयेंस,होहेनज़ोलर्न,c
लुई फिलिप ने अपने विरोधियों को खुश करने के लिए किसका अवलंबन किया ?,सामंती नीति, सामाजिक नीति,कार्ल्सवाद के आदेश,स्वर्णिम मध्यमवर्गीय नीति,d
सुधारवादियों ने 22 फरवरी 1848 ई. को पेरिस में किसके नेतृत्व में एक विशाल भोज का आयोजन किया ?,गैरीबाल्डी,थियर्स,मजिनी,मुसोलिनी,b
गीजो कैसा प्रधानमंत्री था ?,उदारवादी,सुधारवादी,कट्टर प्रतिक्रियावादी,इनमें से कोई नहीं,c
लुई फिलिप ने कब फ्रांस की गद्दी छोड़ी ?,22 मार्च 1848, 15 अप्रैल 1848, 2 जून 1848,24 फरवरी 1848,d
गणतंत्र वादियों का नेता कौन था ?,गीजो,थियर्स,लामार्टिन,लुई ब्लॉ,c
सुधारवादियों का नेता कौन था ?,थियर्स,लुई ब्लॉ,मेजिनी,लामार्टिन,b
लुई नेपोलियन कहाँ का सम्राट बना ?,फ्रांस, इटली, जर्मनी, स्पेन,a
इटली विजय के पश्चात नेपोलियन ने इसे कितने गणराज्यों में गठित किया ?,एक,दो,तीन,चार,c
किसने पिडमाउंट और सार्डिनिया का एकीकरण किया ?,वियना कांग्रेस,डायट,काउंट कावूर,मेजिनी,a
कार्बोनारी क्या था ?,राजनीतिक संगठन,सामाजिक आंदोलन,सांस्कृतिक समूह,गुप्त दल,d
मेजिनी का पूरा नाम क्या था ?,जोसेफ मेजिनी, जॉर्ज मेजिनी, जेम्स मेजिनी, जोहान मेजिनी,a
सन् 1831 ई. में 'यंग इटली' की स्थापना किसने की थी ?,गारीबाल्डी, काउंट कावूर,मेजिनी,गीजो,c
मेजिनी ने 'यंग यूरोप' नामक संस्था की स्थापना कब की ?,1830, 1832, 1834, 1836,c
चार्ल्स एल्बर्ट किसका शासक था ?,सेडोवा,सार्डिनिया-पिडमाउंट,नेपल्स,लुंबार्डी,b
विक्टर इमैनुएल कैसी विचारधारा का था ?,समाजवादी,सामंती,राष्ट्रवादी, उदारवादी,c
काउंट कावूर को प्रधानमंत्री किसने नियुक्त किया ?,गारीबाल्डी,चार्ल्स एल्बर्ट,विक्टर इमैनुएल,मेटरनिख,c
इटली के एकीकरण में कवर सबसे बड़ी बाधा किसे मानते हैं ?,फ्रांस,ऑस्ट्रिया,स्पेन,ब्रिटेन,b
क्रीमिया-युद्ध कब हुआ था ?,1851-52,1855-56,1857-58,1853-54,d
नीस एवं सेवाय नामक रियासतें कावूर ने किसे दे दी ?,फ्रांस,ऑस्ट्रिया,जर्मनी,ब्रिटेन,a
"कावूर ने किस शासक से संधि की, जिसके तहत फ्रांस ने ऑस्ट्रिया के खिलाफ पिडमाउंट को सैन्य समर्थन देने का वादा किया ?",नेपोलियन III,लुई XVIII,चार्ल्स X,विक्टर इमैनुए,a
कुछ लोग कावूर की आलोचना क्यों करते हैं ?,ऑस्ट्रिया से संधि के लिए,गारीबाल्डी के खिलाफ होने के लिए,समाजवादी विचारों को समर्थन देने के लिए,नीस और सेवाय फ्रांस को दे देने के लिए,d
1859-60 के युद्ध में ऑस्ट्रिया के किसी बड़े राज्य पर अमाउंट का कब्जा हो गया ?,लोम्बार्डी,वेनिस,ओडेसा,रोम,a
"कब तक दक्षिणी इटली, रोम तथा वेनेशिया को छोड़कर बाकी रियासतों का विलय इटली में हो गया था ?",1859,1861,1865,1870,b
गैरीबाल्डी पेशे से क्या था ?,सैनिक,लेखक,नाविक,किसान,c
सिसली तथा नेपल्स पर किसने आक्रमण किया ?,गैरीबाल्डी,कावूर,नेपोलियन III,विक्टर इमैनुएल,a
गैरीबाल्डी ने रोम पर आक्रमण की योजना कब बनाई ?,1859,1861,1862,1865,c
कावूर की मृत्यु कब हो गई ?,6 जून 1861, 10 जनवरी 1862, 15 अगस्त 1863, 20 मार्च 1865,a
1870-71 ईस्वी में फ्रांस का किससे युद्ध हुआ ?,ऑस्ट्रिया,रूस,ब्रिटेन,प्रशा,d
इटली का रोम सहित एकीकरण कब हुआ ?,1861,1871,1873,1862,b
पोप ने खुद को कहां छिपा लिया ?,वेटिकन सिटी,लोम्बार्डी,रोम,मिलान,a
जर्मनी मध्यकाल में किसके नेतृत्व में संगठित होकर लंबे समय तक सुदृद्ध अवस्था में रहा ?,शार्लमा,रोमन सम्राट,कार्ल की गद्दी,फ्रैंकिश साम्राज्य,a
विखंडित जर्मनी में लगभग कितने छोटे-बड़े राज्य थे ?,200,300,120,39,b
जर्मन एकीकरण की पृष्ठभूमि का श्रेय किसे जाता है ?,नेपोलियन बोनापार्ट,शार्लमेन,बिस्मार्क,कावूर,a
किसने 1806 ईस्वी में जर्मन प्रदेशों को जीतकर 'राईन राज्य संघ' का निर्माण किया ?,विक्टर इमैनुएल,नेपोलियन III,गैरीबाल्डी,नेपोलियन बोनापार्ट,d
प्रशा का चांसलर  बिस्मार्क इनमें से किसके विचारों से काफी प्रभावित था ?,हीगेल,मार्क्स,मेजिनी,शार्लमा,a
विलियम ने जर्मनी के एकीकरण को ध्यान में रखकर किस महान कूटनीतिज्ञ को अपना चांसलर नियुक्त किया ?,गीजो,ओटो वॉन बिस्मार्क,कावूर,पोलिग्नेक,b
अंडर्ट ने किस तरह से लोगों में देशभक्ति जागृत की ?,कविता से,भाषण  से,सैन्य बल से,नाटकों से,a
शिक्षकों एवं विद्यार्थियों ने जर्मनी के एकीकरण के उद्देश्य से किस सभा की स्थापना की ?,जर्मन संघ,बिस्मार्क सभा,ब्रूशेन शेफ्ट,यंग इटली,c
वाइमर राज्य का येना विश्वविद्यालय राष्ट्रीय आंदोलन का क्या था ?,केंद्र,खुफिया क्षेत्र,शाखा,शुरुआती स्थल,a
जर्मनी के राष्ट्रीय आंदोलन को कुचलने के लिए मेटरनिख ने कौन-सा दमनकारी कानून जारी किया ?,फ्रैंकफर्ट संविधान,बिस्मार्क कानून,कार्ल्सवाद के आदेश,स्वर्णिम मध्यमवर्गीय नीति,c
प्रशा के नेतृत्व में 1834 ईस्वी में जालवेरिन नामक आर्थिक संघ की स्थापना किसने की ?,उद्योगपतियों ने,जर्मन व्यापारियों ने,स्थानीय शासकों ने,राष्ट्रवादियों ने,b
