'कर्मवीर' कथा किसके बारे में है ?,एक सामान्य व्यक्ति,महानायक,दलित ग्रामीण,धनी व्यक्ति,c
भीखनटोला नामक स्थान कहाँ स्थित है ?,उत्तर प्रदेश,बिहार,झारखंड,पश्चिम बंगाल,b
भीखनटोला के निवासियों की स्थिति कैसी थी ?,धनी और शिक्षित,मध्यम वर्गीय,अतिनिर्धन,अत्यंत सम्पन्न,c
कर्मवीर कथा में प्राथमिक विद्यालय कहाँ स्थापित किया गया था ?,ग्राम के भीतर,ग्राम से एक कोश की दूरी पर,ग्राम से 10 कोश की दूरी पर,राजधानी में,b
कर्मवीर कथा में शिक्षक की दृष्टि कैसी थी ?,परंपरागत,रूढ़िवादी,सामान्य,नवीन,d
शिक्षक ने किसे विद्यालय में लाने का प्रयास किया ?,दलित बालक को,किसान को,ग्राम प्रधान को,पुजारी को,a
बालक ने शिक्षा को क्या माना ?,विनाशकारी,जीवन की परम समस्या,जीवन की परम लक्ष्य,समाज का दोष,c
रामप्रवेशराम ने केन्द्रीय लोकसेवा परीक्षा में क्या स्थान प्राप्त किया ?,निम्न स्थान,उन्नत स्थान,मध्य स्थान,कोई स्थान नहीं,b
समिति सदस्यों को रामप्रवेशराम का कौन-सा गुण प्रिय लगा ?,परिश्रम,व्यापक ज्ञान,भावुकता,A और B,d
शिक्षक ने रामप्रवेश राम को कौन-सा मंत्र दिया ?,अपनी इच्छाओं के लिए पढ़ाई करके धन कमाओ,जीवन संघर्ष से ज्यादा भोग महत्वपूर्ण है,पुस्तकालय का उपयोग करो,छात्रों के लिए अध्ययन ही तपस्या है,d 
रामप्रवेशराम ने किस विषय में सफलता प्राप्त की ?,खेलकूद,पढ़ाई और प्रशासन,व्यवसाय,कला,b
भीखनटोला के लोगों को किसने प्रेरित किया ?,सरकार ने,रामप्रवेशराम ने,शिक्षक ने,कोई नहीं,c
रामप्रवेशराम ने परीक्षा में कौन-सा स्थान पाया ?,अंतिम स्थान,प्रथम स्थान,मध्य स्थान,उच्च स्थान,b
रामप्रवेशराम को किसने प्रोत्साहित किया ?,परिवार ने,शिक्षक ने,दोस्तों ने,सामाजिक कार्यकर्ताओं ने,b
कर्मवीर कथा से क्या सिखने को मिलता है ?,परिश्रम से सब संभव है,शिक्षा व्यर्थ है,धन ही सब कुछ है,श्रम व्यर्थ है,a
