लुई फिलिप किस वंश का शासक था ?,बूर्वो,नेपोलियन,आर्लेयेंस,होहेनज़ोलर्न,c
लुई फिलिप ने अपने विरोधियों को खुश करने के लिए किसका अवलंबन किया ?,सामंती नीति, सामाजिक नीति,कार्ल्सवाद के आदेश,स्वर्णिम मध्यमवर्गीय नीति,d
सुधारवादियों ने 22 फरवरी 1848 ई. को पेरिस में किसके नेतृत्व में एक विशाल भोज का आयोजन किया ?,गैरीबाल्डी,थियर्स,मजिनी,मुसोलिनी,b
लुई फिलिप ने कब फ्रांस की गद्दी छोड़ी ?,22 मार्च 1848, 15 अप्रैल 1848, 2 जून 1848,24 फरवरी 1848,d
गणतंत्र वादियों का नेता कौन था ?,गीजो,थियर्स,लामार्टिन,लुई ब्लॉ,c
मेजिनी का पूरा नाम क्या था ?,जोसेफ मेजिनी, जॉर्ज मेजिनी, जेम्स मेजिनी, जोहान मेजिनी,a
सन् 1831 ई. में 'यंग इटली' की स्थापना किसने की थी ?,गारीबाल्डी, काउंट कावूर,मेजिनी,
मेजिनी ने 'यंग यूरोप' नामक संस्था की स्थापना कब की ?,1830, 1832, 1834, 1836,c
चार्ल्स एल्बर्ट किसका शासक था ?,सेडोवा,सार्डिनिया-पिडमाउंट,नेपल्स,लुंबार्डी,b
विक्टर इमैनुएल कैसी विचारधारा का था ?,समाजवादी,सामंती,राष्ट्रवादी, उदारवादी,c
